name	FAME000001	FAME000002	FAME000003	FAME000004	FAME000005	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000015	FAME000016	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
Shewanella	4652.0	16.0	99.0	15.0	3741.0	49.0	2677.0	6082.0	6.0	8076.0	12.0	9.0	19228.0	4777.0	33.0	8847.0	36.0	13653.0	16.0	5480.0	11783.0	11.0
Alteromonas	117.0		8.0		48.0	1.0	14.0	44.0		46.0			47.0	21.0		23.0		38.0		35.0	54.0	
Agarivorans	1.0				1.0		2.0			2.0				4.0		1.0		1.0		1.0	1.0	
Pseudoalteromonas	81.0	5.0	39.0	3.0	17.0	1.0	4213.0	33.0	3.0	22.0	5.0	3.0	46.0	49.0		57.0		40.0	4.0	59.0	23.0	
Idiomarina	18.0		1.0		11.0		5.0	15.0		13.0			16.0	8.0		18.0		23.0		15.0	12.0	
Colwellia	1.0				2.0					2.0			1.0	2.0		2.0				2.0		
Ferrimonas	1.0				3.0			2.0		3.0			5.0	5.0		5.0		6.0		8.0	3.0	
Vibrio	2594.0	7.0	435.0	19.0	865.0	227.0	371.0	1235.0	13.0	1101.0	121.0	29.0	1120.0	914.0	38.0	911.0	17.0	1040.0	41.0	949.0	1223.0	7.0
Photobacterium	7.0		2.0	5.0	13.0	1.0	4.0	10.0	6.0	17.0			17.0	14.0	4.0	27.0	7.0	20.0	1.0	27.0	26.0	8.0
Salinivibrio	3.0		1.0		29.0		3.0	3.0		8.0			12.0	7.0		7.0		7.0		10.0	4.0	
Thaumasiovibrio	3.0				1.0			1.0		2.0			6.0			5.0		1.0				
Grimontia	1.0				5.0		1.0	2.0		4.0			5.0	2.0		5.0		1.0		2.0	4.0	
Aliivibrio	1.0							1.0					1.0	2.0		2.0			102.0	3.0	2.0	
Stenotrophomonas	188.0	3.0	32.0	3.0	256.0	5.0	474.0	248.0	1.0	1123.0	1.0	2.0	2668.0	342.0	7.0	335.0	5.0	523.0	7.0	333.0	921.0	
Xanthomonas	40.0		33.0		49.0	3.0	16.0	76.0	1.0	155.0		1.0	146.0	87.0	2.0	93.0	5.0	118.0	2.0	94.0	126.0	1.0
Pseudoxanthomonas	4.0				9.0		3.0	5.0		18.0			15.0	11.0	3.0	6.0		8.0		8.0	10.0	
Lysobacter	1.0		1.0		10.0		3.0	4.0		6.0			5.0	3.0		8.0		15.0	3.0	11.0	20.0	
Xylella	1.0				3.0		3.0	2.0		5.0			2.0	2.0		6.0				1.0	2.0	
Rheinheimera	201.0		5.0		44.0		9.0	17.0		43.0			61.0	8.0		5.0		16.0	1.0	12.0	40.0	1.0
Acidihalobacter	3.0			1.0	5.0		1.0	5.0		5.0			7.0	9.0		9.0		6.0		3.0	5.0	
Thioalkalivibrio	1.0				1.0		1.0			1.0			2.0							1.0	1.0	
Halothiobacillus	4.0		2.0		7.0		7.0	11.0		27.0			21.0	14.0		24.0		48.0		43.0	44.0	
Guyparkeria	1.0																					
Marinomonas	20.0		1.0		14.0		3.0	12.0		12.0			12.0	5.0		5.0		9.0		6.0	15.0	
Thalassolituus	4.0			1.0	3.0		10.0	22.0		13.0			29.0	10.0		15.0		15.0		15.0	19.0	
Marinobacterium	3.0	1.0			1.0		1.0	6.0		6.0			5.0	7.0		19.0		40.0		18.0	15.0	
Bacterioplanes	2.0							1.0								1.0		1.0		1.0	3.0	
Nitrincola	1.0							4.0					2.0	3.0				2.0				
Halomonas	25.0		5.0		19.0	2.0	15.0	43.0	2.0	53.0	2.0		72.0	43.0	3.0	41.0	2.0	56.0	1.0	46.0	44.0	3.0
Cobetia	2.0		1.0				1.0			3.0				1.0		1.0		2.0				
Chromohalobacter	1.0				1.0			1.0													2.0	
