Contig	FAME000001	FAME000002	FAME000003	FAME000004	FAME000005	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000015	FAME000016	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
contig_255080	16.05	0.1801	22.05	0.828	37.48	0.0699	1.762	19.46	0.0	24.73	0.2196	0.8771	22.51	24.24	0.7666	40.53	0.0	34.23	0.0	35.63	25.0	0.0
contig_255105	5.262	0.0	12.85	0.0	15.28	0.0	1.292	11.31	0.0	11.62	0.0	0.0	7.615	10.89	0.0	14.47	0.0	15.97	0.0	13.3	11.44	0.0
contig_255112	4.375	0.3396	1.139	0.0	3.198	0.0	0.515	16.25	0.0	8.499	0.0	0.0	16.48	7.548	0.09639	1.108	0.0	5.56	0.0	1.445	21.15	0.0
contig_255114	6.719	12.84	35.12	0.0	17.45	0.2658	6.63	8.921	0.0	8.051	0.0	0.0	8.113	12.46	27.11	16.12	0.0	12.75	0.0	9.031	8.05	40.49
contig_255172	35.95	0.9064	16.55	0.0	70.83	6.451	4.373	42.47	0.0	62.65	201.4	30.61	41.83	36.38	1.286	28.71	0.0	34.42	0.0	14.01	47.5	1.469
contig_255178	3.574	0.0	22.52	0.0	15.97	0.0	0.04725	2.636	0.0	1.87	0.0	0.0	1.727	3.728	0.0	3.354	0.0	4.924	0.0	3.427	3.378	0.0
contig_255184	76.5	0.4053	28.89	0.0	28.1	0.3934	6.342	49.96	0.09399	62.31	0.4943	0.0	51.06	41.98	0.05752	56.11	0.1566	68.46	0.4093	69.59	90.33	0.0
contig_255191	30.75	0.0	34.75	0.4737	30.94	0.0	0.9704	3.374	0.0	8.335	0.0	0.0	3.588	4.979	0.0	3.08	0.0	2.409	0.0	12.13	2.538	0.6954
contig_255196	86.59	0.0	29.15	0.0	92.12	0.1539	3.799	19.23	0.0	22.76	0.2418	0.0	31.23	30.31	0.0	9.702	0.3063	12.39	0.0	55.0	24.42	0.0
contig_255209	13.87	87.2	25.79	0.0	38.27	0.0	0.8205	17.42	0.0	19.15	0.363	0.2899	11.66	13.89	0.0	19.05	0.0	13.82	0.0	24.82	14.4	0.0
contig_255210	28.42	0.2032	2.158	0.3737	26.45	0.3155	4.033	88.63	0.0	72.18	0.1239	0.0	129.5	74.88	0.0	6.628	0.0	22.2	0.1368	4.323	88.19	0.3292
contig_255221	7.045	0.0	0.4532	0.0	5.791	0.1573	2.095	16.19	0.188	14.03	0.0	0.0	18.68	16.16	0.115	44.21	0.0	42.05	0.0	60.28	39.49	0.0
contig_255283	4.915	0.0	32.1	0.0	1.791	0.0	1.111	7.189	0.0	7.45	0.0	0.0	8.549	15.33	74.73	18.28	0.0	11.72	0.0952	10.17	13.3	0.2291
contig_255308	5.297	0.0	19.13	0.0	11.74	0.0	0.3198	9.167	0.0	8.73	0.0	0.0	6.349	7.313	0.05487	15.77	0.0	12.53	0.0	16.2	15.33	0.0
contig_255333	4.934	0.0	4.216	0.3468	5.203	0.0	1.3	7.41	0.0	10.93	1.15	0.0	9.499	11.41	0.0	22.45	0.2913	18.21	0.0	18.93	7.939	0.0
contig_255341	15.46	0.0	0.3664	0.0	8.016	0.0	2.018	19.6	0.0	17.02	0.0	0.4257	13.94	19.01	0.06201	23.7	0.0	31.03	0.2942	39.23	34.16	0.354
contig_255348	65.83	14.62	45.37	0.4012	139.0	6.605	4.872	62.81	0.0	80.53	0.133	0.425	65.78	48.14	0.4953	15.66	0.337	36.15	0.4406	34.53	46.32	28.27
contig_255362	26.22	0.3728	2.918	0.0	25.06	0.2171	4.497	86.48	0.0	77.58	0.0	0.0	136.7	70.1	0.3174	6.005	0.288	24.97	0.251	4.521	90.76	0.302
contig_255368	14.22	0.7479	1.15	0.0	11.05	0.0	5.85	44.89	0.0	41.93	0.0	0.0	44.38	35.24	0.2123	63.58	0.2889	48.41	0.1259	58.31	48.07	0.0
contig_255372	82.88	0.7072	3.954	0.0	34.53	0.1098	9.145	89.61	0.0	80.0	0.1725	0.2756	95.12	72.95	0.281	121.1	0.5463	117.6	0.3809	132.1	137.2	0.1146
contig_255382	38.97	0.3842	97.31	0.1767	78.28	286.1	11.39	54.91	0.2673	53.72	0.1171	0.1872	56.5	67.1	11.4	98.39	0.5937	68.49	1.552	83.62	63.34	43.26
contig_255384	8.802	0.0	11.01	0.0	17.25	0.0	1.421	13.6	0.0	15.68	0.0	0.0	17.95	14.65	0.06499	6.536	0.0	11.94	0.7709	6.625	15.59	0.0
contig_255432	7.626	0.2119	2.37	0.0	24.15	0.0	0.5258	5.613	0.0	7.496	0.0	0.0	13.84	5.478	0.0	3.37	0.4911	5.665	0.0	2.615	6.075	0.0
contig_255481	16.7	126.4	21.87	0.0	19.33	0.0	2.933	19.28	0.1994	19.33	0.1311	129.8	20.22	30.69	0.0	52.59	0.0	34.9	0.0	31.74	35.14	0.0
contig_255499	4.385	0.0	0.0	0.0	3.44	0.0	0.7659	25.61	0.0	11.47	0.0	0.0	15.05	17.8	0.0	2.002	0.0	2.029	0.0	6.322	3.241	0.0
contig_255502	2.271	0.0	0.3005	0.0	1.338	0.0	0.2963	3.367	0.0	3.91	0.0	0.0	9.828	2.824	0.0	23.3	0.0	13.71	0.0	11.2	12.44	0.0
contig_255520	16.34	0.0	19.63	0.0	37.0	0.0	2.345	20.19	0.0	34.05	0.3294	0.0	32.05	18.3	0.0	21.8	0.0	30.41	0.0	16.43	33.15	0.0
contig_255525	52.16	7.972	29.99	0.0	95.2	0.5018	4.633	48.14	0.0	62.27	78.43	0.0	51.06	38.98	0.0	23.54	0.3329	34.84	0.0	20.53	43.04	0.349
contig_255530	4.566	5.308	5.833	0.0	18.54	0.0	0.2775	4.222	0.0	5.166	0.0	0.0	5.123	4.27	0.0	6.866	60.52	4.709	0.1232	9.267	4.099	0.0
contig_255542	8.222	20.74	15.57	0.3852	12.38	9.513	1.53	19.24	0.0	28.38	0.1277	0.4081	18.92	21.92	0.2378	16.06	0.0	12.95	0.0	13.55	13.32	0.0
contig_255546	7.519	0.0	1.098	0.0	10.66	0.0	0.6398	12.35	0.0	12.09	0.0	0.0	13.72	5.74	0.0	1.237	0.0	6.442	0.2404	6.912	14.95	0.0
contig_255565	23.26	0.7868	5.09	0.0	21.53	0.0	2.727	75.43	0.2606	59.89	0.0	0.1095	98.99	57.47	0.0638	5.958	0.0	19.11	0.1513	4.352	71.24	0.3642
contig_255582	17.44	0.5374	9.314	0.0	25.94	0.06954	1.852	10.71	0.1662	11.8	0.1092	0.0	9.093	7.398	0.0	4.602	0.0	7.063	0.0	3.201	7.062	0.0
contig_255584	12.53	0.0	1.501	0.0	25.56	0.08682	4.902	36.79	0.6223	38.72	0.0	0.0	64.44	37.23	0.06348	116.8	0.0	91.25	0.9035	112.9	90.67	0.0
contig_255598	23.19	0.0	1.826	0.0	23.43	0.0	0.5321	6.088	0.0	5.754	0.0	0.5785	9.474	5.382	0.08427	2.058	0.0	0.744	0.0	10.04	3.524	0.0
contig_255610	14.75	0.6063	26.44	0.0	37.89	0.1177	35.83	21.11	0.0	26.92	0.0	0.0	32.58	37.41	75.36	37.27	0.0	24.81	0.2041	19.02	22.81	205.6
contig_255611	14.03	0.0	3.078	0.0	11.26	0.0	0.4301	4.155	0.0	4.42	0.0	0.1788	6.712	3.876	0.0	2.02	0.4253	8.461	0.0	14.29	24.91	0.2973
contig_255621	3.753	0.0	26.26	0.0	13.5	0.0	0.1488	3.767	0.0	1.964	0.0	0.0	1.948	3.063	0.0	2.275	0.0	4.57	0.0	4.135	2.418	0.0
contig_255637	14.93	0.0	36.29	0.365	18.62	0.0	2.49	25.86	0.0	30.18	0.0	0.0	38.89	23.53	0.1127	32.86	0.1533	20.23	0.1336	37.07	22.67	0.6431
contig_255648	4.163	0.2314	12.48	0.2128	5.935	0.1347	108.5	6.623	0.0	11.19	0.0	0.0	13.9	9.773	4.827	19.01	0.1787	18.63	0.0	13.98	10.78	0.0
contig_255651	23.18	88.12	30.01	0.264	50.89	1.671	2.809	42.61	0.0	45.53	0.0	0.0	41.35	42.53	0.0	119.6	0.0	22.83	0.09663	23.33	30.73	1.395
contig_255700	75.18	0.9074	46.47	0.1669	136.8	0.07045	17.11	75.75	0.3366	106.1	0.0	0.3536	99.56	66.13	0.309	56.17	0.5608	82.53	0.3665	49.96	117.8	73.95
contig_255716	40.74	0.0	3.297	0.0	37.59	0.3615	1.198	8.221	0.0	11.8	0.0	0.6047	23.63	8.806	0.0	2.025	0.0	3.111	0.0	19.02	8.342	0.0
contig_255729	119.2	1.462	61.5	1.008	199.7	137.3	13.98	132.3	0.339	193.6	0.3343	1.068	180.6	111.3	0.1556	122.6	0.5646	118.9	0.246	103.2	159.8	177.6
contig_255748	8.829	0.0	43.24	0.3855	29.2	17.25	0.6357	13.7	0.0	13.65	0.0	0.0	8.683	14.07	0.0	23.5	0.0	17.37	0.0	19.09	17.46	0.0
contig_255754	5.434	0.1186	6.434	0.2182	9.592	8.428	1.717	14.5	0.05502	19.87	0.1447	0.0	20.15	14.81	0.06735	5.031	0.0	7.413	0.0	3.937	9.406	0.0
contig_255756	13.05	0.0	21.22	0.3714	18.82	0.0	1.559	17.94	0.0	20.59	0.0	0.0	22.91	17.25	0.1146	16.14	0.0	14.1	0.0	12.72	9.86	0.0
contig_255758	4.327	0.216	3.984	0.0	7.011	82.23	1.221	19.0	0.0	25.6	0.2634	0.0	18.13	11.71	0.1226	7.661	0.0	6.927	0.0	4.502	10.25	0.0
contig_255790	19.33	41.22	18.04	0.0	38.26	0.0	1.637	18.09	0.1039	22.0	27.32	0.0	25.92	20.55	0.0	15.62	0.0	23.2	0.4525	12.3	26.89	0.3629
contig_255796	268.4	235.8	605.4	1.824	472.7	269.7	37.99	324.9	1.717	418.7	387.3	1.546	392.1	385.1	187.0	342.2	1.941	353.3	399.3	321.1	371.5	1.5
contig_255822	52.18	3.628	26.48	3.728	62.42	1.491	2.147	57.61	1.88	36.21	5195.0	1.871	64.66	50.18	0.1211	29.15	0.1648	16.54	0.1437	33.5	23.04	3.63
contig_255825	20.52	44.53	55.06	125.1	51.46	196.1	8.427	39.82	63.96	45.23	188.1	0.7352	44.36	43.54	49.53	34.54	138.0	35.62	24.01	27.05	27.64	63.58
contig_255831	21.67	0.0	5.997	0.5978	23.01	0.0	3.63	20.0	0.0	23.24	0.0	0.6333	24.14	26.44	0.0	31.28	0.0	13.68	0.0	18.26	23.73	0.0
contig_255841	6.171	0.2719	47.28	0.0	11.87	0.0	39.68	11.15	0.0	11.2	0.0	0.0	10.5	25.89	0.0	29.33	0.0	21.12	0.09153	20.07	13.64	0.0
contig_255846	18.13	0.0	11.52	43.85	23.34	0.3721	2.709	15.97	0.0	19.21	0.5845	0.0	18.42	12.92	0.136	8.403	0.0	6.886	0.3227	4.282	11.27	0.0
contig_255849	2.903	0.0	0.9653	0.0	3.364	0.0	0.7934	14.51	0.0	8.158	0.0	0.0	17.11	14.09	0.0	0.5476	0.0	4.872	1.808	0.5714	7.734	0.0
contig_255864	2.337	0.0	2.449	0.0	2.783	0.0	0.0	4.557	0.0	1.505	0.0	0.0	1.137	1.981	0.0	18.87	0.0	7.255	0.0	13.37	3.839	0.0
contig_255886	15.37	0.0	8.406	69.13	23.37	0.1081	7.734	23.43	31.7	27.82	0.1698	0.2712	42.92	28.39	0.4741	86.34	57.54	69.68	0.09373	66.4	70.28	29.32
contig_255909	10.11	0.4121	22.12	0.0	14.38	0.0	2.272	17.78	0.0	22.56	0.3769	0.0	20.53	31.44	0.0	34.45	0.0	33.25	0.0	35.68	20.77	0.0
contig_255954	5.982	0.0	17.05	0.0	6.165	0.0	2.317	16.22	0.0	12.88	0.0	0.0	8.48	30.12	0.0	34.14	0.2404	13.52	0.0	17.08	9.202	0.0
contig_255970	19.51	0.3088	3.28	0.0	36.39	0.0	0.681	5.408	0.0	8.249	0.0	0.0	5.646	4.672	0.0	7.176	0.0	2.785	0.0	1.379	5.601	0.0
contig_255986	4.665	0.0	8.503	0.0	6.303	0.0	0.9655	8.55	0.0	11.67	0.0	108.8	14.12	22.84	0.0	17.3	0.0	15.38	0.0	14.56	8.695	0.0
contig_255992	17.2	0.0	12.38	0.0	30.13	0.0	2.381	19.68	0.0	28.67	0.0	0.4314	27.52	17.94	0.1257	15.17	0.0	25.08	0.0	11.49	26.09	0.3588
contig_255997	7.966	9.091	23.23	0.0	12.23	0.0	1.575	12.76	0.3614	14.37	0.0	0.0	15.12	16.46	0.0	18.43	0.4013	17.79	0.0	18.68	14.19	0.0
contig_256028	19.26	0.0	18.94	0.0	25.66	0.0	1.722	19.71	0.0	22.24	0.293	0.4681	24.48	14.01	0.0	13.42	0.0	13.57	0.0	7.564	20.88	0.3892
contig_256040	2.99	0.0	32.97	0.4338	14.4	6.959	0.4877	8.062	0.0	11.1	0.2877	0.0	5.018	5.651	0.0	7.31	0.0	11.11	0.0	11.44	5.494	0.0
contig_256064	10.31	0.2002	2.91	0.0	22.81	0.1554	0.6899	7.27	0.0	11.98	0.0	0.0	11.95	4.039	0.05682	3.02	0.0	6.488	0.0	2.555	7.981	0.0
contig_256065	6.316	0.0	12.64	0.0	14.04	0.04797	1.005	6.81	0.0	6.975	0.3014	0.0	10.65	7.284	2.595	7.104	0.0	10.73	0.08319	7.939	9.52	1.001
contig_256066	10.98	7.133	7.451	0.0	21.39	15.67	1.76	11.15	0.0	16.74	0.1145	0.0	14.92	13.55	0.0	9.185	0.0	7.777	0.0	6.31	14.13	0.0
contig_256085	7.334	0.1971	24.68	0.0	9.918	0.0	25.02	14.73	0.0914	18.39	0.0	0.0	15.81	22.12	29.65	33.19	0.3045	21.27	0.5307	14.76	7.151	131.9
contig_256093	14.57	17.6	9.346	0.0	29.71	0.1708	2.426	15.5	0.0	16.55	0.0	0.6428	20.93	15.6	9.302	12.92	0.0	15.87	0.0	6.832	20.0	0.3564
contig_256099	0.0	0.0	0.0	0.0	0.5506	0.0	0.1299	2.093	0.0	15.03	0.0	0.0	8.298	0.3564	0.0	0.0	0.0	0.3148	0.0	0.0	0.0	0.0
contig_256109	14.0	0.0	5.87	0.4198	16.3	0.1772	2.391	21.55	0.0	21.3	0.0	53.14	14.31	10.29	0.06478	4.84	0.0	8.694	0.0	6.312	8.077	0.0
contig_256122	30.85	0.0	1.079	0.1774	19.17	0.0	2.021	25.05	0.0	23.16	0.0	0.0	25.85	16.05	0.0	29.74	0.0	33.58	0.6494	35.05	36.03	0.0
contig_256124	4.91	0.0	54.24	0.0	12.94	20.42	1.159	22.67	0.0	23.86	0.2929	0.0	21.96	33.39	0.0	25.75	0.0	17.81	0.0	11.24	16.67	0.0
contig_256132	16.23	0.2984	11.01	1.098	31.2	40.2	2.55	26.26	1.522	30.43	0.7279	0.0	26.62	16.84	0.0	18.86	4.38	21.34	12.86	17.52	32.62	3.868
contig_256168	8.001	0.7598	2.23	0.0	22.02	0.0	1.466	9.657	0.1762	15.37	0.0	0.0	10.42	4.91	0.0	4.26	0.0	4.443	0.0	2.748	9.785	0.3078
contig_256187	14.0	0.3913	40.68	0.0	36.78	0.2278	2.616	30.25	0.0	35.7	32.68	0.0	35.99	43.72	0.0	26.0	0.0	22.62	0.0	17.15	18.93	0.0
contig_256190	36.71	0.0	0.3238	0.0	0.3134	0.0	0.05322	26.89	0.0	44.32	0.0	0.0	1.441	0.6694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_256192	59.9	1642.0	193.8	0.946	163.9	0.9584	9.586	106.2	0.2862	127.4	5.269	0.6013	104.4	125.1	0.05839	104.0	0.4768	80.5	0.277	91.04	87.55	34.5
contig_256193	14.9	0.0	5.771	0.2792	16.22	0.0	2.239	17.25	0.0	21.82	0.0	0.0	21.02	16.18	0.04309	5.386	0.0	7.811	0.2044	6.718	10.54	0.246
contig_256224	5.337	0.0	23.78	0.0	17.5	0.0	0.4665	15.39	0.0	8.55	0.0	0.0	8.029	11.43	0.0	11.83	0.0	8.318	0.0	15.94	9.853	0.0
contig_256229	8.57	0.0	0.0	0.0	0.0	0.1507	5.992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_256237	11.0	0.1907	84.67	0.0	22.05	0.0	2.498	26.89	0.1769	28.28	0.0	0.0	20.22	31.75	0.0	33.75	0.5894	35.11	0.0	34.41	21.87	1.082
contig_256238	41.32	0.8438	26.65	0.388	88.43	0.08189	4.973	40.29	0.1957	87.88	0.0	0.0	64.48	53.07	0.0	56.43	1.304	52.58	0.4261	38.24	61.71	0.8544
contig_256240	25.32	0.0	3.089	0.3504	21.16	0.0	2.968	78.23	0.0	68.98	0.0	0.0	118.1	71.6	0.0	3.807	0.0	20.05	0.1283	3.243	69.82	0.0
contig_256250	5.066	0.0	31.44	0.1753	7.86	0.0	0.3941	4.723	0.0	5.38	0.0	0.0	5.762	7.991	0.0	9.638	0.0	12.8	0.0	9.813	5.123	0.0
contig_256255	2.263	0.0	0.5335	0.0	3.966	0.0	1.5	0.4892	0.0	18.67	0.0	0.0	39.32	10.35	0.0	2.024	0.0	3.316	1.157	1.381	11.63	0.0
contig_256267	10.12	0.0	18.72	0.0	14.42	0.0942	2.275	19.28	0.0	25.66	0.0	0.7092	20.38	33.58	0.0	20.19	0.0	13.54	0.3267	12.91	18.15	0.0
contig_256285	42.54	236.6	107.4	28.42	89.93	408.2	9.614	89.3	15.71	108.6	758.3	7.142	96.57	106.4	11.47	86.37	23.26	92.41	603.5	68.54	68.25	11.4
contig_256286	3.184	0.0	16.26	0.0	11.66	0.0	0.4162	4.752	0.0	4.425	0.0	0.1548	3.677	4.058	0.0	7.193	0.0	5.522	0.0	8.316	5.766	0.0
contig_256298	15.36	0.0	28.12	0.1985	51.72	0.3352	2.886	31.91	0.0	34.69	0.0	0.0	31.9	32.66	0.06127	29.49	0.3335	33.32	0.0	40.5	26.59	0.1749
contig_256300	16.56	0.1938	30.12	0.1782	24.92	0.1505	3.393	37.09	0.0	43.1	0.2363	0.0	47.81	40.26	0.0	40.38	0.0	37.42	0.1305	28.86	28.3	0.0
contig_256314	14.6	0.5758	10.41	0.0	30.1	0.149	2.487	20.01	0.0	24.05	0.0	0.0	26.5	13.98	0.0	16.98	0.0	18.85	0.1292	16.09	32.32	0.0
contig_256316	6.904	0.0	16.75	0.0	11.94	0.0	4.505	11.05	0.1263	10.76	0.0	0.0	10.26	10.56	0.0	10.77	0.4207	10.74	0.0	20.62	9.148	0.0
contig_256328	750.0	3.848	103.6	2.831	681.5	0.5228	25.54	354.1	1.784	433.9	2.815	1.499	511.9	420.2	0.3822	117.3	2.229	135.2	0.7771	316.2	278.5	1.714
contig_256374	7.731	0.5788	25.13	0.0	20.17	0.1498	0.2659	10.47	0.0	6.534	0.1176	0.0	5.544	5.899	0.1095	8.889	0.2981	5.672	0.0	21.51	5.703	0.0
contig_256381	6.244	0.4491	9.165	0.0	10.35	0.0	0.9596	8.73	0.0	15.38	0.1369	0.0	12.07	12.81	0.1275	10.26	0.347	23.03	0.0	18.63	18.71	0.0
contig_256442	4.414	0.0	3.703	0.0	20.39	0.0	0.744	10.17	0.0	5.447	0.1496	0.0	7.508	7.038	0.0	8.303	0.0	5.574	0.0	8.455	5.714	0.0
contig_256468	13.83	0.0	0.6521	0.0	6.122	0.0	1.42	12.29	0.09015	10.46	0.0	0.0	14.22	9.253	0.05517	17.76	0.3003	17.47	0.2618	22.66	17.42	0.0
contig_256490	29.17	46.07	70.64	25.38	54.34	4.981	6.405	39.95	13.34	44.84	27.5	27.84	38.16	43.63	7.669	56.2	19.97	46.44	77.09	53.1	41.1	42.2
contig_256512	7.828	15.11	30.87	0.0	16.42	194.0	4.028	19.28	0.09345	19.79	0.3686	0.1963	20.45	20.26	112.2	17.09	0.0	14.88	0.2713	14.4	10.38	0.0
contig_256513	56.25	0.0	6.579	0.0	40.32	0.0	0.6992	7.888	0.1882	10.15	0.0	0.0	14.08	9.402	0.0	10.09	0.0	17.35	0.0	39.62	43.26	0.0
contig_256521	11.82	0.0	24.16	0.0	8.491	0.0	2.884	12.35	0.0	5.697	0.0	0.0	10.48	9.892	39.06	14.26	0.0	20.51	0.0	16.28	16.65	0.0
contig_256525	33.34	0.2303	31.55	0.0	42.92	0.0	0.7937	7.084	0.0	7.714	0.0	0.0	13.67	12.05	0.0	1.221	0.0	2.155	0.0	13.92	5.881	0.0
contig_256563	8.28	86.93	4.917	0.1881	23.18	0.5558	1.692	8.738	0.09485	19.4	0.0	0.0	15.95	11.41	0.05805	7.256	0.158	9.636	0.0	5.57	10.08	0.6627
contig_256571	14.33	26.81	25.48	108.3	17.07	17.93	22.0	22.02	0.0	23.98	0.2515	0.6026	23.16	30.42	35.0	32.2	0.3186	25.77	0.2776	29.22	22.54	98.38
contig_256618	3.558	0.0	13.04	0.0	4.6	0.0	1.046	9.58	0.0	11.59	0.0	0.0	12.91	13.86	0.1267	20.15	0.0	12.45	0.0	16.8	12.99	0.0
contig_256623	15.03	0.0	4.382	0.0	27.28	0.04285	1.643	13.63	0.0	22.76	0.0	0.0	12.69	12.53	0.0	4.816	0.3411	8.557	0.0	6.388	11.32	0.0
contig_256630	54.23	0.0	10.88	0.0	41.81	0.0	2.059	19.63	0.0	22.91	0.0	0.0	23.82	31.03	0.0	2.676	0.0	5.293	0.0	24.94	11.15	0.0
contig_25665	73.01	0.9481	62.54	0.8718	126.9	2.576	11.33	104.9	0.0	125.2	1.156	12.31	127.8	109.8	135.4	137.5	438.7	122.5	1139.0	112.3	115.9	2.56
contig_256651	11.57	0.0	2.109	0.0	12.07	0.0	1.337	9.553	0.0	12.98	0.3286	0.0	20.31	12.74	0.1529	9.667	0.0	6.661	0.0	23.16	18.22	0.2182
contig_256667	4.776	0.4027	4.503	0.0	2.484	0.0	0.7772	11.7	0.0	9.396	0.0	0.0	11.5	9.648	0.0	11.17	0.0	10.56	0.0	10.02	8.117	0.0
contig_256713	12.26	0.0	4.812	0.0	11.47	0.0	2.864	20.04	0.0	20.55	0.0	0.0	17.17	15.16	0.0	3.631	0.0	8.827	0.0	4.673	12.9	0.0
contig_256748	7.421	0.0	4.387	0.451	18.55	0.0	1.217	8.59	0.0	15.87	0.2991	0.0	9.152	7.344	0.0	3.7	23.3	5.326	0.0	2.921	6.371	0.0
contig_256796	6.082	0.0	17.98	0.1848	8.288	0.0	0.7758	13.14	0.0	16.19	0.0	0.0	12.15	15.46	0.1141	13.77	0.0	15.11	0.0	26.68	10.53	0.0
contig_256797	141.5	85.87	176.0	2.03	210.4	669.6	152.2	282.0	0.3413	277.1	0.748	1.434	281.5	260.9	253.7	313.6	3.411	312.4	1537.0	243.8	280.9	318.2
contig_256805	5.18	0.0	1.574	0.0	6.724	0.0	1.414	11.51	0.0	14.15	0.0	0.0	17.63	6.085	0.1141	0.8199	0.0	0.739	0.0	4.106	1.711	0.1629
contig_256831	16.41	0.0	18.08	0.0	12.29	0.0	0.5185	3.963	0.0	9.53	0.0	0.0	7.861	6.007	0.0	7.566	0.0	21.87	0.0	7.148	14.83	0.2031
contig_256835	60.84	1.105	24.5	0.0	69.94	0.5718	3.706	57.89	0.0	45.45	0.0	0.0	33.4	33.9	0.0	22.37	0.0	17.59	0.0	22.4	44.37	0.2983
contig_256838	17.98	1.664	11.83	0.0	19.52	0.1845	3.178	21.12	0.0	24.42	0.0	9.494	22.27	19.33	0.0	7.366	0.0	13.42	0.0	9.102	14.48	0.3851
contig_256839	7.603	17.15	19.98	0.0	20.73	0.0	1.566	15.44	0.0	17.26	0.0	1.207	16.88	18.23	0.0	23.75	0.0	24.57	0.0	22.5	15.64	0.0
contig_256843	6.596	5.231	3.9	2.806	11.32	0.0	2.133	10.06	0.0	17.31	0.0	0.0	21.96	7.49	4.269	6.666	0.0	10.27	0.0	7.42	14.06	0.0
contig_256846	1.512	0.0	0.0	0.0	0.9179	0.0	0.9893	4.459	0.0	10.72	0.0	0.0	12.17	7.884	0.1234	13.21	0.0	11.04	0.0	8.605	14.22	0.0
contig_256855	16.59	0.0	17.82	0.0	14.61	0.0	2.309	21.55	0.0	28.1	0.0	0.0	25.0	29.71	0.0	18.1	0.0	25.35	0.1359	21.04	14.64	0.3269
contig_256869	6.78	0.0	23.29	0.0	26.36	0.0	1.143	21.07	0.0	22.88	0.0	0.0	11.03	22.25	0.0	19.5	0.3284	13.92	0.0	20.44	13.14	0.0
contig_256872	59.34	0.0	7.363	0.6488	46.27	0.0	1.07	9.243	0.0	9.824	0.0	0.4582	7.812	12.75	0.0	1.918	0.0	3.693	0.0	19.11	4.53	0.0
contig_256883	58.83	1509.0	186.5	1.134	237.1	141.4	11.45	131.1	0.6671	156.4	1053.0	2.603	130.1	168.4	0.1167	154.4	0.4763	100.9	0.5535	89.8	109.5	309.1
contig_256890	3.314	0.0	2.492	0.0	9.933	0.1573	0.3351	3.202	0.0	4.651	0.0	0.0	5.066	3.704	0.0	4.626	0.0	3.994	0.0	2.327	4.991	0.0
contig_256921	8.708	0.0	0.0	0.0	0.1317	0.0	6.095	0.7798	0.0	0.0	0.0	0.0	0.0	0.1918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_256925	6.776	0.0	40.97	0.0	9.684	0.0	1.878	9.911	0.0	13.58	0.0	0.0	10.31	14.97	0.0	23.12	0.0	21.53	0.0	16.45	12.7	0.0
contig_256937	65.48	2.844	213.8	0.6035	104.5	0.9341	7.719	84.39	0.2029	107.2	0.5335	31.75	99.43	116.5	0.1242	142.9	0.0	111.8	16.05	144.6	97.89	0.5316
contig_256943	4.582	0.5747	15.58	0.0	4.571	0.2231	0.9506	12.77	0.0	15.89	0.0	0.0	12.87	11.87	0.0	16.99	0.0	16.03	0.0	19.68	12.61	0.0
contig_256946	19.24	0.4091	1.372	0.0	14.48	0.1588	0.7049	6.029	0.0	8.005	0.0	0.0	10.46	5.287	0.0	7.756	0.316	18.79	0.0	30.37	36.28	0.497
contig_256952	7.382	0.2616	12.87	0.0	13.29	1.828	1.064	14.08	0.0	14.23	0.3191	0.0	14.5	11.34	0.07426	15.74	0.0	19.32	0.0	21.93	15.53	28.4
contig_256957	3.932	1.012	8.299	0.0	20.1	242.8	1.418	11.31	0.0	15.49	0.2057	0.1643	13.79	14.73	0.6702	16.44	0.0	18.77	0.1136	21.39	13.9	0.0
contig_256990	15.48	0.6884	14.11	0.0	16.39	0.4454	3.226	27.45	0.0	37.22	0.6996	33.31	44.62	28.28	0.0	14.41	0.0	18.25	0.618	10.06	9.353	0.0
contig_257020	5.78	55.51	4.352	0.3767	7.249	0.0	0.8188	8.051	0.0	11.72	0.0	30.73	11.47	16.08	0.0	19.54	0.0	15.12	0.0	6.014	12.02	0.0
contig_257041	8.737	1.027	55.01	1571.0	21.01	0.0	70.52	9.303	0.6669	22.42	0.5011	0.4003	15.72	36.33	0.0	38.2	0.0	24.37	0.5532	12.06	13.34	671.2
contig_257044	2.453	0.4136	3.7	0.0	2.484	0.0	2.936	11.31	0.0	20.39	0.5044	0.0	19.68	15.58	0.0	20.49	0.1598	17.0	0.6962	16.89	19.64	0.0
contig_257075	33.06	0.0	14.43	0.0	68.45	0.0	6.671	49.78	0.0	70.12	0.2314	0.1849	60.62	43.07	0.0	26.85	0.2932	44.45	0.0	26.4	68.17	0.1537
contig_257089	2.398	35.62	46.15	0.0	2.257	0.0	1.018	3.99	0.0	10.22	0.0	0.0	4.54	4.725	0.0	0.5314	0.0	5.806	0.0	1.571	4.865	0.0
contig_257097	3.039	0.0	3.231	0.0	6.903	0.0	1.138	11.38	0.0	14.68	0.0	0.0	25.58	10.15	0.0	0.8417	0.1595	3.586	0.0	2.811	5.086	0.0
