Contig	FAME000001	FAME000002	FAME000003	FAME000004	FAME000005	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000015	FAME000016	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
contig_11192	30.2	338.0	47.86	0.9484	92.52	0.2772	4.965	75.21	0.1104	83.92	171.9	0.8501	53.5	79.85	1.036	99.76	1.348	99.24	1.068	102.5	64.96	3111.0
contig_11193	31.67	4.229	28.37	0.4861	33.38	0.2052	19.35	138.3	0.2451	204.9	0.4835	0.0	192.3	146.9	0.0	17.46	0.0	16.25	0.3559	6.073	44.63	1.499
contig_11198	36.17	0.8189	30.52	0.0	44.94	0.106	6.623	71.14	0.0	78.69	0.3329	0.0	65.4	102.1	0.155	35.29	0.0	42.05	0.0	86.64	59.79	27.64
contig_11205	275.4	4.992	1178.0	3.393	706.5	1.18	72.4	748.6	1.208	812.9	11.38	1.48	677.2	1062.0	6.591	690.7	17.1	521.6	5.26	588.8	425.6	29730.0
contig_11207	60.7	216.8	96.41	0.8181	201.2	0.8387	8.129	98.05	0.05894	156.5	0.07749	0.4952	82.53	114.3	0.07214	95.92	0.4909	65.56	0.5134	81.97	154.7	3.706
contig_11208	65.37	0.5484	48.29	0.5043	192.6	3.832	3.402	46.27	0.0	36.32	0.1672	0.0	31.21	34.05	0.3113	33.43	0.4236	17.86	0.0	27.07	42.99	7.107
contig_11294	7.561	0.0	77.24	0.6416	30.13	0.0	0.3366	13.86	0.0	13.26	7.02	0.0	9.374	10.89	0.0	14.65	0.0	9.092	0.0	19.74	10.78	0.0
contig_11297	10.8	0.0	98.84	0.5999	31.35	0.2532	0.3597	20.49	0.0	14.48	0.0	0.0	12.17	16.35	0.1852	21.15	0.0	18.96	0.0	33.86	17.68	0.0
contig_11553	4.139	28.26	66.61	0.3878	21.5	0.0	0.9302	10.9	0.0	5.714	0.0	0.0	6.139	8.044	0.0	8.943	0.0	7.187	0.0	16.24	6.14	0.0
contig_11610	7.002	0.0	2.286	0.0	9.294	0.09921	2.431	12.88	0.237	22.02	0.0	0.0	20.03	14.9	0.0	6.149	0.1974	8.027	0.0	4.023	11.33	0.0
contig_11626	26.2	0.0	2.487	8.968	17.16	0.09464	15.5	35.07	7.943	32.5	14.49	6.769	33.71	27.24	9.272	65.61	12.05	96.71	0.2462	63.46	127.4	4.888
contig_11631	15.77	0.0	0.3236	0.2129	8.797	0.0	18.0	19.74	0.0	17.12	0.1412	0.0	18.49	15.51	0.1972	37.72	0.0	40.19	9.354	35.08	47.35	0.0
contig_11634	12.23	0.0	0.7125	0.0	8.015	0.0	7.915	16.42	0.0	18.0	0.0818	0.0	17.92	12.81	0.1523	39.39	0.1036	56.79	5.148	43.32	79.62	0.2717
contig_11635	3.744	0.1299	0.8349	0.0	3.036	0.05041	2.989	27.46	0.0	14.71	0.0	0.0	17.59	9.088	0.09214	7.625	0.0	12.32	3.366	17.43	8.841	0.0
contig_11637	33.33	0.0	0.9454	0.311	18.56	0.08753	22.77	22.73	0.1046	28.17	0.1375	0.0	28.11	26.58	0.128	96.31	0.0	121.9	0.3036	78.23	158.1	0.1826
contig_11638	19.14	0.0	1.026	0.0	15.99	0.0	9.026	10.98	0.0	16.35	0.0	0.0	12.1	12.15	0.0	49.15	0.0	52.24	0.206	34.11	61.12	0.0
contig_11671	10.4	0.0	7.728	0.07023	37.32	0.0	3.948	20.91	0.07084	35.58	0.04657	0.0	23.46	19.93	0.0	12.11	0.0	20.29	0.1543	13.55	20.7	0.0
contig_11836	7.634	0.2305	35.65	0.5652	11.75	370.2	1.864	20.71	0.1425	19.83	0.1405	0.07484	23.22	72.99	0.0	29.42	0.0	27.88	0.0	23.11	26.74	0.4356
contig_11845	4.334	1.641	6.383	0.8695	7.617	1607.0	1.316	11.78	0.3558	12.91	0.359	10.88	12.06	10.51	0.3089	8.453	0.02756	10.41	0.1682	6.49	6.497	0.01445
contig_1223	122.3	247.4	452.3	753.4	170.4	186.5	83.15	169.3	351.7	186.4	780.5	109.8	183.6	284.2	294.9	302.9	719.7	267.6	750.2	268.6	199.3	445.2
contig_1224	125.6	333.1	549.8	888.7	236.2	576.2	92.32	241.6	428.6	248.8	614.6	161.6	256.1	344.3	233.2	421.8	830.3	359.8	1204.0	367.1	261.0	436.2
contig_12293	245.2	94.32	57.47	2.079	120.4	14.09	26.69	255.9	0.4777	244.7	0.429	0.7833	254.9	180.7	0.4493	258.8	1.844	269.7	14.04	285.7	324.0	1.119
contig_12393	286.5	1.345	32.15	3.093	147.3	99.29	28.56	280.3	0.9359	262.9	27.38	156.3	353.0	300.5	17.13	504.4	1.819	504.1	1.812	547.0	514.6	2.997
contig_12394	202.1	0.4576	8.571	1.052	76.07	0.2665	10.88	103.9	0.2122	97.64	0.6976	0.4458	119.5	97.01	0.2598	193.6	0.3535	182.2	0.0	247.3	240.3	0.556
contig_12884	6.462	11.81	23.78	599.0	6.258	0.337	30.07	8.865	26.25	7.547	15.83	0.0	10.34	27.42	69.64	17.67	121.3	12.15	79.85	7.905	7.623	147.1
contig_12983	5.973	0.0	46.85	0.0	10.32	0.0	0.7066	8.868	0.0	8.294	0.0	0.0	10.04	14.46	0.1455	10.87	0.396	9.162	192.9	16.03	8.954	0.0
contig_13082	31.09	0.4185	33.85	0.0	56.84	0.0	2.692	34.09	0.2588	53.91	0.0	0.0	32.95	39.18	0.198	29.86	0.1078	35.93	0.0	37.57	44.11	0.678
contig_13128	88.78	1.051	434.6	0.9661	197.6	0.1359	4.489	162.0	0.1624	123.1	0.0	1.365	89.13	167.4	0.5963	174.5	1.082	120.7	0.7073	170.2	121.4	0.5673
contig_13266	124.1	169.5	470.9	185.4	285.3	279.6	29.13	193.4	89.44	197.1	201.8	0.5553	166.8	231.2	141.4	242.6	131.2	206.0	394.7	241.6	181.2	145.8
contig_13267	66.31	129.6	163.0	258.9	112.6	121.2	30.33	92.92	131.5	105.4	206.4	100.6	103.6	113.0	130.5	154.6	247.0	129.1	245.0	145.8	110.0	145.6
contig_1344	99.79	0.0	7.299	0.2183	71.06	0.1843	4.909	53.45	0.1101	85.76	0.0	0.0	111.1	57.85	0.0	9.583	0.0	6.662	0.1598	38.89	22.86	0.0
