name	FAME000104	FAME000105	FAME000106	FAME000107	FAME000108	FAME000109	FAME000110	FAME000111	FAME000112	FAME000113	FAME000114	FAME000115	FAME000116	FAME000117	FAME000118	FAME000119	FAME000120	FAME000121	FAME000122	FAME000123	FAME000124	FAME000125	FAME000126	FAME000127	FAME000128	FAME000129	FAME000130	FAME000131	FAME000132
Aeromonas	0.1363365821506126	0.018884203301805857	0.02809600633471452	0.015947894229117385	0.02581047291065215	0.028427830015658916	0.03036526418553706	0.04404060533552207	0.027424645193936444	0.0065701797093976	2.093091845504451e-05	0.23482367641239582	2.7436046575432665e-05	3.739296264443032e-05	1.2196512781624435e-05	2.325357682847158e-05	2.107422504169107e-05	0.00016593160612118812	0.00023559729285664403	0.00013544405755776717	0.00021903679263592758	0.2781241398031738	0.17281246895718813	0.025606357587636838	0.02036309161022134	0.014852850550782061	0.01768468943508468	0.023422650126054653	0.0004010034741833899
Tolumonas	0.01282458838062288	8.84443870538644e-07	1.3940833013565475e-06	3.303688237548399e-07	2.9790128544404668e-05	2.3588623835753985e-05	1.1508758562119516e-05	4.057519394942708e-06	2.836406295914327e-07			0.0192794773029541	2.110465121187128e-07				2.3158489056803373e-07	1.3175710659746948e-05	1.4772794421792826e-05	2.360435857853204e-06	1.6943774395184272e-06	0.008818068718628868	0.0030107800237556847	1.518009438326251e-05	1.4401767845806608e-07	4.7349572184777917e-07	3.022610486614596e-07	1.8116506528826624e-07	2.1562787135061898e-05
Oceanimonas	1.3727673165281774e-06											1.4285503404473554e-06										2.340174149909801e-06	3.4077872368485397e-07	4.1027282116925703e-07	8.641060707483965e-07	1.4204871655433375e-06	1.0579136703151086e-06	9.058253264413311e-07	
Zobellella	7.8443846658753e-07		3.485208253391369e-07									9.523668936315702e-07										8.775653062161753e-07							
Oceanisphaera	3.92219233293765e-07											4.761834468157851e-07										8.775653062161753e-07							
Dongshaea	3.92219233293765e-07																					2.925217687387251e-07							
Succinivibrio	1.56887693317506e-06											2.3809172340789254e-07																	
Raoultella	0.023237616805339045	0.0003926930785191579	0.0004579563644956259	0.00036472718142534325	0.00022533558770767634	0.00017927354115173028	0.0001115159019295029	0.0001124512518026979	9.189956398762419e-05	7.478973382973379e-05	7.399819655823817e-05	0.012690288857640673	8.209709321417929e-05	7.359884710967238e-05	7.018344197145289e-05	6.951595599248346e-05	5.9285731985416635e-05	0.0001095230948591465	0.00016787266388400938	0.00026110916656157105	0.0001671272292615903	0.017553353776704677	0.008826850500885088	0.005909159443300809	0.00046820147266717283	0.00016974821628242884	0.00025752641345956357	0.0003476557602881829	0.00015061767730162638
Klebsiella	0.014268543487993874	0.002978806955974153	0.0039058728895757073	0.002247499108004176	0.003307468117878775	0.003736831159314027	0.003428816344024573	0.00319645581477308	0.0031251524568384056	0.002982486655321917	0.0033347815837516874	0.019085908731823482	0.0032074848911801974	0.0034086949915391003	0.0027895778444568028	0.0025635232644692935	0.002617372433199917	0.002092467549151062	0.002222634069824284	0.0020620093243960487	0.0034665422069420186	0.01784265780598728	0.010406530274526229	0.003208743734364759	0.002492801996430666	0.0026456573458244663	0.002619243117175878	0.002228511468110963	0.006343965074721494
Citrobacter	0.030952569124227402	0.05793018907641064	0.05686256673738154	0.05104792990895035	0.0638009072239916	0.09975904220751777	0.11322515100284941	0.03942894472035576	0.03483163659508712	0.03609318111982373	0.0327101628066036	0.08557873669483927	0.0340082460093215	0.037922102742803485	0.035219463409070825	0.03219518905525123	0.04145068480810066	0.04084696762048518	0.02641183788143547	0.01805272584256882	0.01071031382950866	0.06682601302482427	0.0930276502744717	0.053318645566335476	0.07093936394880344	0.06517692286020772	0.08291156582255735	0.058433342488207966	0.007213878710931529
Kluyvera	0.01993532697062219	0.00021005541925292795	0.00028195334769936175	0.00026099137076632354	0.00018714311521484983	0.00020797303348523097	0.0001146907318776738	8.317914759632551e-05	4.0844250661166307e-05	2.878420676999623e-05	2.981070204203309e-05	0.06071600847797009	3.1234883793569496e-05	2.5818950397344742e-05	3.145416454208407e-05	2.54565472648531e-05	2.2463734385099273e-05	4.940891497405105e-05	8.11544420833554e-05	4.4623477884177234e-05	6.300003388754879e-05	0.04138451723231114	0.02026628108690011	0.0003259617564189747	0.00021545044697326686	0.00017850788713661274	0.00033188263143028266	0.0003326190598692568	0.00010041178486775092
Enterobacter	0.009149494164660302	0.08865886469247002	0.04833739882876092	0.40344079129940663	0.046007798139033586	0.02752910344751669	0.012760435269185895	0.010073371543573122	0.008517728106630724	0.007328163821007501	0.007869391068840522	0.031220253415306726	0.008974963974360381	0.009163353234699008	0.007222261331897711	0.00610124901080508	0.005659703140592176	0.004015297823557883	0.003451845678401254	0.002957176523059997	0.009752374438930017	0.03183806930952284	0.07372321713517209	0.05008508032628997	0.1793174195718873	0.16148642617976786	0.4387814829440891	0.5864376571154029	0.019112675217760014
