#FeatureID	FAME000001_good_out	FAME000002_good_out	FAME000003_good_out	FAME000004_good_out	FAME000005_good_out	FAME000006_good_out	FAME000007_good_out	FAME000008_good_out	FAME000009_good_out	FAME000010_good_out	FAME000011_good_out	FAME000012_good_out	FAME000013_good_out	FAME000014_good_out	FAME000015_good_out	FAME000016_good_out	FAME000017_good_out	FAME000018_good_out	FAME000019_good_out	FAME000020_good_out	FAME000022_good_out	FAME000023_good_out
N4620	2	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	2	0	0
N4621	2	0	1	0	0	0	0	0	0	3	0	0	2	2	0	0	0	1	0	4	0	0
N464	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
N4678	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
N468	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N4680	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0
N4696	15	18	35	30	15	18	41	4	19	3	31	24	24	14	86	16	24	8	38	8	6	22
N4697	10	6	21	19	21	15	32	4	3	2	21	5	12	4	57	7	25	12	14	4	2	13
N4698	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0
N4699	3	0	4	2	3	5	7	6	5	1	2	2	0	0	5	3	1	1	8	0	2	1
N4700	3	0	4	2	7	2	4	8	0	1	5	3	7	1	11	2	0	3	9	2	0	7
N4703	1	0	0	1	2	2	3	11	0	0	0	0	1	0	4	2	4	0	2	4	0	0
N4705	132	0	51	0	132	0	17	38	0	112	0	0	42	51	0	69	2	24	0	61	26	0
N4710	2	2	9	5	2	0	38	0	0	1	1	2	5	2	18	14	10	9	1	8	8	1
N4711	2	0	0	0	0	0	1	0	0	0	0	0	4	5	0	2	0	0	0	0	0	0
N4713	0	0	1	2	0	2	2	2	0	0	0	0	1	0	2	0	2	0	0	0	0	0
N4717	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
N4718	2	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0
N4719	0	0	0	0	4	1	4	0	4	2	0	0	4	2	2	0	2	2	0	7	0	2
N4721	1	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
N4722	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0
N4723	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N4726	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
N4727	115	2	9	0	44	0	22	42	0	70	0	0	53	49	0	65	0	67	0	50	61	2
N4732	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
N4734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
N4735	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
N4738	219	0	14	2	88	0	33	85	0	102	0	0	88	67	0	107	0	106	2	81	80	0
N4742	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
N4744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
N4746	2	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	2	0
N4747	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
N4751	1	2	0	2	13	0	1	0	1	2	95	67	5	0	1	1	29	0	0	0	0	64
N4752	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
N4753	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	11	0
N4756	12	2	0	0	8	0	0	6	0	11	2	0	15	12	0	4	2	9	0	4	10	0
N4757	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	0	2	0	0	2	0
N4758	8	0	0	0	8	0	2	1	0	8	4	0	14	10	0	0	0	6	0	4	12	2
N4761	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
N4763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
N4764	5	0	0	0	0	0	0	12	0	0	0	0	2	4	1	5	0	10	0	11	11	0
N4767	13	0	0	0	0	0	4	13	0	6	0	0	16	2	1	6	0	31	0	4	36	0
N4768	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	1
N4771	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0
N4772	4	0	0	0	4	0	12	15	0	6	2	0	16	6	0	4	0	30	0	8	15	0
N4773	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	6	0
N4774	17	0	1	0	1	4	0	7	1	0	0	0	13	0	1	1	2	0	0	4	0	0
N4775	35	8	0	15	61	11	1	43	0	1	342	0	23	5	2	6	32	9	0	30	0	233
N4776	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N4778	4	0	0	0	0	0	2	6	0	4	0	1	2	0	0	4	2	12	0	0	6	0
N4780	6	0	0	0	4	0	2	2	0	6	0	0	2	0	0	4	0	9	0	2	16	0
N4781	5	2	0	0	2	0	6	22	0	15	0	0	28	15	0	10	0	53	0	0	71	0
N4785	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	2	0
N4789	2	0	0	0	0	79	0	2	0	2	0	0	4	8	0	0	0	0	6	2	0	0
N4790	0	0	0	0	0	64	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
N4791	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
N4793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
N4794	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N4797	2	0	0	0	0	0	0	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0
N4798	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N4799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
N4806	2	0	0	0	2	0	2	0	0	0	0	0	2	4	0	0	0	2	0	2	4	0
N4808	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
N4810	6	0	0	0	0	0	0	2	0	2	0	0	10	0	0	2	0	2	0	0	2	0
N4811	4	0	0	0	0	0	0	8	0	3	0	0	10	5	0	10	0	8	0	8	13	0
N4813	45	0	0	0	18	0	0	4	0	3	0	0	12	0	0	12	0	5	0	12	1	2
N4814	0	0	0	4	2	0	0	0	0	1	2	0	0	0	0	0	0	4	0	0	0	0
N4815	48	0	0	0	11	0	0	2	0	1	0	0	0	5	0	6	0	2	0	6	0	0
N4817	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	4	0
N4818	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
N4819	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N4823	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
N4825	7	0	4	0	20	2	4	4	0	14	0	0	11	4	0	0	0	0	0	8	6	0
N4826	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
N4828	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N4835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
N4836	24	0	2	0	16	0	5	6	0	2	0	0	16	16	0	4	0	5	0	4	8	0
N4838	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N4839	7	0	0	0	6	0	0	2	0	0	0	0	1	1	1	1	0	1	0	0	0	0
N4842	2	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0
N4844	96	0	0	0	9	0	1	0	0	2	0	0	6	5	0	2	0	5	0	2	7	0
N4845	6	0	0	0	5	0	2	3	0	2	0	0	6	0	0	2	0	0	0	0	0	0
N4847	122	0	5	0	106	0	14	97	0	101	0	0	77	40	0	144	2	91	0	225	319	0
N4848	3816	12	689	4	3792	6	474	1604	12	2086	9	4	2093	2356	4	962	12	1378	3	1911	2079	2
N4849	243	104	167	123	303	154	6	71	11	384	214	111	163	58	136	88	244	141	4	60	307	166
N4850	436	0	30	0	671	8	28	137	2	205	4	0	212	193	0	177	2	100	0	170	222	2
N4851	1	0	0	0	4	0	0	4	0	2	0	0	0	0	0	0	2	0	0	0	0	0
N4853	287	2	13	0	331	0	80	255	0	257	1	0	380	341	0	114	2	108	0	181	181	0
N4855	821	2	315	2	1087	0	146	321	0	435	0	0	404	395	4	111	2	147	2	386	316	0
N487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
N4870	1	0	0	0	4	0	2	8	0	2	0	0	6	2	0	2	0	9	0	0	16	0
N4872	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N488	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
